Nome,Data,ValorKB,ValorPC,ValorNE
Nintendo Switch,2022-04-01 05:00:00,R$ 1247.62,R$ 1343.20,R$ 1554.08
Xbox Series S,2022-04-01 06:00:00,R$ 1705.00,R$ 2375.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 06:00:00,R$ 6150.00,R$ 6650.00,R$ 6854.40
"TV Samsung T5300 43""",2022-04-01 06:00:00,R$ 3000.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-01 06:00:00,R$ 800.00,R$ 920.00,R$ 1662.86
Xbox Series S,2022-04-01 07:00:00,R$ 2165.35,R$ 1971.25,R$ 1100.00
iPhone 11 64GB,2022-04-01 07:00:00,R$ 6150.00,R$ 6251.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-01 07:00:00,R$ 3000.00,R$ 3000.00,R$ 858.00
Nintendo Switch,2022-04-01 07:00:00,R$ 800.00,R$ 920.00,R$ 1114.12
Xbox Series S,2022-04-01 08:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 08:00:00,R$ 5535.00,R$ 6251.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-01 08:00:00,R$ 1860.00,R$ 3000.00,R$ 780.78
Nintendo Switch,2022-04-01 08:00:00,R$ 800.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-01 09:00:00,R$ 1100.00,R$ 1100.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 09:00:00,R$ 6150.00,R$ 6650.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-01 09:00:00,R$ 3000.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-01 09:00:00,R$ 800.00,R$ 1085.60,R$ 1120.00
Xbox Series S,2022-04-01 10:00:00,R$ 1760.00,R$ 1100.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 10:00:00,R$ 6150.00,R$ 6650.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-01 10:00:00,R$ 2040.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-01 10:00:00,R$ 872.00,R$ 1085.60,R$ 1000.00
Xbox Series S,2022-04-01 11:00:00,R$ 1760.00,R$ 1573.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 11:00:00,R$ 3874.50,R$ 2660.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-01 11:00:00,R$ 2040.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-01 11:00:00,R$ 872.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-01 12:00:00,R$ 1496.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 12:00:00,R$ 6150.00,R$ 2660.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-01 12:00:00,R$ 3000.00,R$ 1500.00,R$ 1044.00
Nintendo Switch,2022-04-01 12:00:00,R$ 800.00,R$ 1278.80,R$ 1090.00
Xbox Series S,2022-04-01 13:00:00,R$ 1100.00,R$ 1470.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 13:00:00,R$ 2460.00,R$ 2819.60,R$ 3975.00
"TV Samsung T5300 43""",2022-04-01 13:00:00,R$ 3000.00,R$ 1500.00,R$ 793.44
Nintendo Switch,2022-04-01 13:00:00,R$ 800.00,R$ 920.00,R$ 1090.00
Xbox Series S,2022-04-01 14:00:00,R$ 1100.00,R$ 1587.60,R$ 1100.00
iPhone 11 64GB,2022-04-01 14:00:00,R$ 2460.00,R$ 4173.01,R$ 3000.00
"TV Samsung T5300 43""",2022-04-01 14:00:00,R$ 2370.00,R$ 1905.00,R$ 793.44
Nintendo Switch,2022-04-01 14:00:00,R$ 800.00,R$ 920.00,R$ 1090.00
Xbox Series S,2022-04-01 15:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 15:00:00,R$ 2460.00,R$ 3713.98,R$ 3000.00
"TV Samsung T5300 43""",2022-04-01 15:00:00,R$ 1540.50,R$ 3000.00,R$ 896.59
Nintendo Switch,2022-04-01 15:00:00,R$ 800.00,R$ 920.00,R$ 1362.50
Xbox Series S,2022-04-01 16:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 16:00:00,R$ 2460.00,R$ 6276.62,R$ 3000.00
"TV Samsung T5300 43""",2022-04-01 16:00:00,R$ 2172.11,R$ 2130.00,R$ 896.59
Nintendo Switch,2022-04-01 16:00:00,R$ 800.00,R$ 1545.60,R$ 2343.50
Xbox Series S,2022-04-01 17:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 17:00:00,R$ 2460.00,R$ 4456.40,R$ 3000.00
"TV Samsung T5300 43""",2022-04-01 17:00:00,R$ 2172.11,R$ 2939.40,R$ 1309.02
Nintendo Switch,2022-04-01 17:00:00,R$ 1360.00,R$ 1190.11,R$ 1898.24
Xbox Series S,2022-04-01 18:00:00,R$ 1100.00,R$ 1000.00,R$ 1463.00
iPhone 11 64GB,2022-04-01 18:00:00,R$ 4108.20,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-01 18:00:00,R$ 2172.11,R$ 3000.00,R$ 1178.12
Nintendo Switch,2022-04-01 18:00:00,R$ 1564.00,R$ 2070.79,R$ 1537.57
Xbox Series S,2022-04-01 19:00:00,R$ 1100.00,R$ 1000.00,R$ 2238.39
iPhone 11 64GB,2022-04-01 19:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-01 19:00:00,R$ 2172.11,R$ 2340.00,R$ 1178.12
Nintendo Switch,2022-04-01 19:00:00,R$ 1470.16,R$ 2070.79,R$ 1537.57
Xbox Series S,2022-04-01 20:00:00,R$ 1100.00,R$ 1000.00,R$ 1477.34
iPhone 11 64GB,2022-04-01 20:00:00,R$ 2460.00,R$ 3138.80,R$ 4350.00
"TV Samsung T5300 43""",2022-04-01 20:00:00,R$ 1200.00,R$ 3000.00,R$ 1178.12
Nintendo Switch,2022-04-01 20:00:00,R$ 1705.39,R$ 2300.00,R$ 1537.57
Xbox Series S,2022-04-01 21:00:00,R$ 1100.00,R$ 1260.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 21:00:00,R$ 2460.00,R$ 3766.56,R$ 4089.00
"TV Samsung T5300 43""",2022-04-01 21:00:00,R$ 1200.00,R$ 3000.00,R$ 1178.12
Nintendo Switch,2022-04-01 21:00:00,R$ 2000.00,R$ 2300.00,R$ 1537.57
Xbox Series S,2022-04-01 22:00:00,R$ 1364.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 22:00:00,R$ 2460.00,R$ 3352.24,R$ 7114.86
"TV Samsung T5300 43""",2022-04-01 22:00:00,R$ 1200.00,R$ 3000.00,R$ 1178.12
Nintendo Switch,2022-04-01 22:00:00,R$ 840.00,R$ 2300.00,R$ 1537.57
Xbox Series S,2022-04-01 23:00:00,R$ 1364.00,R$ 1460.00,R$ 1441.00
iPhone 11 64GB,2022-04-01 23:00:00,R$ 2460.00,R$ 4324.39,R$ 7500.00
"TV Samsung T5300 43""",2022-04-01 23:00:00,R$ 1860.00,R$ 3000.00,R$ 1500.00
Nintendo Switch,2022-04-01 23:00:00,R$ 800.00,R$ 2300.00,R$ 1814.33
Xbox Series S,2022-04-02 00:00:00,R$ 1100.00,R$ 1000.00,R$ 1441.00
iPhone 11 64GB,2022-04-02 00:00:00,R$ 2460.00,R$ 4324.39,R$ 7500.00
"TV Samsung T5300 43""",2022-04-02 00:00:00,R$ 1860.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-02 00:00:00,R$ 800.00,R$ 2300.00,R$ 2140.91
Xbox Series S,2022-04-02 01:00:00,R$ 1100.00,R$ 1480.00,R$ 2089.45
iPhone 11 64GB,2022-04-02 01:00:00,R$ 2460.00,R$ 6650.00,R$ 6225.00
"TV Samsung T5300 43""",2022-04-02 01:00:00,R$ 1860.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-02 01:00:00,R$ 800.00,R$ 2300.00,R$ 2140.91
Xbox Series S,2022-04-02 02:00:00,R$ 1100.00,R$ 1554.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 02:00:00,R$ 2460.00,R$ 6650.00,R$ 6225.00
"TV Samsung T5300 43""",2022-04-02 02:00:00,R$ 3000.00,R$ 1932.00,R$ 600.00
Nintendo Switch,2022-04-02 02:00:00,R$ 904.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-02 03:00:00,R$ 1100.00,R$ 1554.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 03:00:00,R$ 2460.00,R$ 6650.00,R$ 6225.00
"TV Samsung T5300 43""",2022-04-02 03:00:00,R$ 1980.00,R$ 2337.72,R$ 708.00
Nintendo Switch,2022-04-02 03:00:00,R$ 800.00,R$ 920.00,R$ 1620.00
Xbox Series S,2022-04-02 04:00:00,R$ 1100.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 04:00:00,R$ 2804.40,R$ 6650.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-02 04:00:00,R$ 3000.00,R$ 1519.52,R$ 899.16
Nintendo Switch,2022-04-02 04:00:00,R$ 800.00,R$ 1012.00,R$ 2349.00
Xbox Series S,2022-04-02 05:00:00,R$ 1100.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 05:00:00,R$ 2460.00,R$ 6650.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-02 05:00:00,R$ 3000.00,R$ 1519.52,R$ 600.00
Nintendo Switch,2022-04-02 05:00:00,R$ 800.00,R$ 1012.00,R$ 2349.00
Xbox Series S,2022-04-02 06:00:00,R$ 1100.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 06:00:00,R$ 2460.00,R$ 2660.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-02 06:00:00,R$ 1200.00,R$ 2507.20,R$ 600.00
Nintendo Switch,2022-04-02 06:00:00,R$ 800.00,R$ 1012.00,R$ 2349.00
Xbox Series S,2022-04-02 07:00:00,R$ 1529.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 07:00:00,R$ 3493.20,R$ 2660.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-02 07:00:00,R$ 1200.00,R$ 2507.20,R$ 600.00
Nintendo Switch,2022-04-02 07:00:00,R$ 800.00,R$ 1012.00,R$ 1000.00
Xbox Series S,2022-04-02 08:00:00,R$ 1192.62,R$ 1900.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 08:00:00,R$ 3039.08,R$ 2660.00,R$ 5550.00
"TV Samsung T5300 43""",2022-04-02 08:00:00,R$ 1200.00,R$ 3000.00,R$ 1002.00
Nintendo Switch,2022-04-02 08:00:00,R$ 800.00,R$ 1012.00,R$ 1370.00
Xbox Series S,2022-04-02 09:00:00,R$ 1192.62,R$ 2500.00,R$ 1166.00
iPhone 11 64GB,2022-04-02 09:00:00,R$ 3039.08,R$ 4468.80,R$ 7500.00
"TV Samsung T5300 43""",2022-04-02 09:00:00,R$ 1200.00,R$ 1200.00,R$ 1342.68
Nintendo Switch,2022-04-02 09:00:00,R$ 800.00,R$ 1487.64,R$ 1000.00
Xbox Series S,2022-04-02 10:00:00,R$ 1100.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 10:00:00,R$ 3039.08,R$ 6301.01,R$ 3075.00
"TV Samsung T5300 43""",2022-04-02 10:00:00,R$ 1200.00,R$ 1200.00,R$ 1342.68
Nintendo Switch,2022-04-02 10:00:00,R$ 800.00,R$ 1487.64,R$ 1660.00
Xbox Series S,2022-04-02 11:00:00,R$ 1595.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 11:00:00,R$ 3039.08,R$ 6301.01,R$ 3000.00
"TV Samsung T5300 43""",2022-04-02 11:00:00,R$ 1200.00,R$ 1200.00,R$ 684.77
Nintendo Switch,2022-04-02 11:00:00,R$ 800.00,R$ 1487.64,R$ 2500.00
Xbox Series S,2022-04-02 12:00:00,R$ 1212.20,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 12:00:00,R$ 3282.21,R$ 6301.01,R$ 3000.00
"TV Samsung T5300 43""",2022-04-02 12:00:00,R$ 1980.00,R$ 1200.00,R$ 684.77
Nintendo Switch,2022-04-02 12:00:00,R$ 800.00,R$ 920.00,R$ 2500.00
Xbox Series S,2022-04-02 13:00:00,R$ 1866.79,R$ 2500.00,R$ 1474.00
iPhone 11 64GB,2022-04-02 13:00:00,R$ 5251.54,R$ 3780.60,R$ 3000.00
"TV Samsung T5300 43""",2022-04-02 13:00:00,R$ 2197.80,R$ 1200.00,R$ 684.77
Nintendo Switch,2022-04-02 13:00:00,R$ 800.00,R$ 920.00,R$ 2500.00
Xbox Series S,2022-04-02 14:00:00,R$ 2750.00,R$ 2500.00,R$ 1474.00
iPhone 11 64GB,2022-04-02 14:00:00,R$ 6150.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-02 14:00:00,R$ 2439.56,R$ 1200.00,R$ 684.77
Nintendo Switch,2022-04-02 14:00:00,R$ 800.00,R$ 1306.40,R$ 2500.00
Xbox Series S,2022-04-02 15:00:00,R$ 2750.00,R$ 2500.00,R$ 1827.76
iPhone 11 64GB,2022-04-02 15:00:00,R$ 4981.50,R$ 2660.00,R$ 3450.00
"TV Samsung T5300 43""",2022-04-02 15:00:00,R$ 2903.07,R$ 1200.00,R$ 684.77
Nintendo Switch,2022-04-02 15:00:00,R$ 800.00,R$ 1306.40,R$ 2500.00
Xbox Series S,2022-04-02 16:00:00,R$ 2750.00,R$ 2500.00,R$ 2284.70
iPhone 11 64GB,2022-04-02 16:00:00,R$ 6150.00,R$ 2660.00,R$ 5968.50
"TV Samsung T5300 43""",2022-04-02 16:00:00,R$ 2903.07,R$ 1200.00,R$ 951.83
Nintendo Switch,2022-04-02 16:00:00,R$ 800.00,R$ 1306.40,R$ 1000.00
Xbox Series S,2022-04-02 17:00:00,R$ 2750.00,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-02 17:00:00,R$ 3997.50,R$ 4362.40,R$ 5968.50
"TV Samsung T5300 43""",2022-04-02 17:00:00,R$ 3000.00,R$ 1200.00,R$ 761.46
Nintendo Switch,2022-04-02 17:00:00,R$ 1232.00,R$ 1463.17,R$ 1370.00
Xbox Series S,2022-04-02 18:00:00,R$ 2750.00,R$ 1050.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 18:00:00,R$ 5596.50,R$ 2922.81,R$ 7460.62
"TV Samsung T5300 43""",2022-04-02 18:00:00,R$ 2250.00,R$ 1200.00,R$ 723.39
Nintendo Switch,2022-04-02 18:00:00,R$ 1232.00,R$ 1463.17,R$ 1712.50
Xbox Series S,2022-04-02 19:00:00,R$ 2750.00,R$ 1050.00,R$ 1276.00
iPhone 11 64GB,2022-04-02 19:00:00,R$ 2460.00,R$ 3507.37,R$ 7500.00
"TV Samsung T5300 43""",2022-04-02 19:00:00,R$ 1200.00,R$ 1200.00,R$ 889.77
Nintendo Switch,2022-04-02 19:00:00,R$ 2000.00,R$ 1463.17,R$ 1712.50
Xbox Series S,2022-04-02 20:00:00,R$ 2392.50,R$ 1000.00,R$ 1390.84
iPhone 11 64GB,2022-04-02 20:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-02 20:00:00,R$ 1668.00,R$ 1200.00,R$ 640.63
Nintendo Switch,2022-04-02 20:00:00,R$ 1560.00,R$ 1463.17,R$ 1712.50
Xbox Series S,2022-04-02 21:00:00,R$ 2750.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 21:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-02 21:00:00,R$ 1200.00,R$ 1200.00,R$ 640.63
Nintendo Switch,2022-04-02 21:00:00,R$ 1560.00,R$ 1785.06,R$ 1712.50
Xbox Series S,2022-04-02 22:00:00,R$ 2750.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-02 22:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-02 22:00:00,R$ 1464.00,R$ 2064.00,R$ 820.01
Nintendo Switch,2022-04-02 22:00:00,R$ 1560.00,R$ 920.00,R$ 2192.00
Xbox Series S,2022-04-02 23:00:00,R$ 2750.00,R$ 1070.00,R$ 1584.00
iPhone 11 64GB,2022-04-02 23:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-02 23:00:00,R$ 1288.32,R$ 2064.00,R$ 869.21
Nintendo Switch,2022-04-02 23:00:00,R$ 1560.00,R$ 1113.20,R$ 2192.00
Xbox Series S,2022-04-03 00:00:00,R$ 2750.00,R$ 1070.00,R$ 1584.00
iPhone 11 64GB,2022-04-03 00:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-03 00:00:00,R$ 1288.32,R$ 2249.76,R$ 773.60
Nintendo Switch,2022-04-03 00:00:00,R$ 1903.20,R$ 1113.20,R$ 1139.84
Xbox Series S,2022-04-03 01:00:00,R$ 2750.00,R$ 1070.00,R$ 1584.00
iPhone 11 64GB,2022-04-03 01:00:00,R$ 3025.80,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-03 01:00:00,R$ 1200.00,R$ 1200.00,R$ 820.01
Nintendo Switch,2022-04-03 01:00:00,R$ 1903.20,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-03 02:00:00,R$ 1155.00,R$ 1819.00,R$ 1584.00
iPhone 11 64GB,2022-04-03 02:00:00,R$ 3025.80,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-03 02:00:00,R$ 1200.00,R$ 1788.00,R$ 600.00
Nintendo Switch,2022-04-03 02:00:00,R$ 1903.20,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-03 03:00:00,R$ 1155.00,R$ 1819.00,R$ 1584.00
iPhone 11 64GB,2022-04-03 03:00:00,R$ 3025.80,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-03 03:00:00,R$ 1200.00,R$ 3000.00,R$ 942.00
Nintendo Switch,2022-04-03 03:00:00,R$ 2000.00,R$ 1030.40,R$ 1000.00
Xbox Series S,2022-04-03 04:00:00,R$ 1386.00,R$ 1819.00,R$ 1188.00
iPhone 11 64GB,2022-04-03 04:00:00,R$ 4659.73,R$ 2979.20,R$ 3000.00
"TV Samsung T5300 43""",2022-04-03 04:00:00,R$ 1392.00,R$ 1200.00,R$ 942.00
Nintendo Switch,2022-04-03 04:00:00,R$ 2000.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-03 05:00:00,R$ 2411.64,R$ 1819.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 05:00:00,R$ 4659.73,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-03 05:00:00,R$ 1795.68,R$ 1200.00,R$ 942.00
Nintendo Switch,2022-04-03 05:00:00,R$ 1640.00,R$ 1545.60,R$ 1080.00
Xbox Series S,2022-04-03 06:00:00,R$ 2411.64,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 06:00:00,R$ 4659.73,R$ 3910.20,R$ 3000.00
"TV Samsung T5300 43""",2022-04-03 06:00:00,R$ 1795.68,R$ 1200.00,R$ 942.00
Nintendo Switch,2022-04-03 06:00:00,R$ 2000.00,R$ 920.00,R$ 1576.80
Xbox Series S,2022-04-03 07:00:00,R$ 2411.64,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 07:00:00,R$ 6150.00,R$ 3910.20,R$ 3000.00
"TV Samsung T5300 43""",2022-04-03 07:00:00,R$ 2926.96,R$ 1668.00,R$ 942.00
Nintendo Switch,2022-04-03 07:00:00,R$ 800.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-03 08:00:00,R$ 1100.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 08:00:00,R$ 2460.00,R$ 2660.00,R$ 4470.00
"TV Samsung T5300 43""",2022-04-03 08:00:00,R$ 3000.00,R$ 1668.00,R$ 600.00
Nintendo Switch,2022-04-03 08:00:00,R$ 1312.00,R$ 920.00,R$ 1320.00
Xbox Series S,2022-04-03 09:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 09:00:00,R$ 2460.00,R$ 2660.00,R$ 3352.50
"TV Samsung T5300 43""",2022-04-03 09:00:00,R$ 3000.00,R$ 1668.00,R$ 756.00
Nintendo Switch,2022-04-03 09:00:00,R$ 2000.00,R$ 920.00,R$ 1782.00
Xbox Series S,2022-04-03 10:00:00,R$ 1100.00,R$ 1480.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 10:00:00,R$ 3837.60,R$ 3990.00,R$ 3352.50
"TV Samsung T5300 43""",2022-04-03 10:00:00,R$ 1500.00,R$ 1668.00,R$ 1315.44
Nintendo Switch,2022-04-03 10:00:00,R$ 2000.00,R$ 920.00,R$ 2031.48
Xbox Series S,2022-04-03 11:00:00,R$ 1100.00,R$ 2220.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 11:00:00,R$ 2460.00,R$ 6423.90,R$ 3352.50
"TV Samsung T5300 43""",2022-04-03 11:00:00,R$ 1200.00,R$ 2118.36,R$ 1473.29
Nintendo Switch,2022-04-03 11:00:00,R$ 2000.00,R$ 1214.40,R$ 2031.48
Xbox Series S,2022-04-03 12:00:00,R$ 1749.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 12:00:00,R$ 3739.20,R$ 2660.00,R$ 3352.50
"TV Samsung T5300 43""",2022-04-03 12:00:00,R$ 1200.00,R$ 2118.36,R$ 1473.29
Nintendo Switch,2022-04-03 12:00:00,R$ 2000.00,R$ 1214.40,R$ 2500.00
Xbox Series S,2022-04-03 13:00:00,R$ 1100.00,R$ 1450.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 13:00:00,R$ 3739.20,R$ 2660.00,R$ 4727.02
"TV Samsung T5300 43""",2022-04-03 13:00:00,R$ 1272.00,R$ 1200.00,R$ 1163.90
Nintendo Switch,2022-04-03 13:00:00,R$ 2000.00,R$ 947.23,R$ 2500.00
Xbox Series S,2022-04-03 14:00:00,R$ 1364.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 14:00:00,R$ 3739.20,R$ 2660.00,R$ 4727.02
"TV Samsung T5300 43""",2022-04-03 14:00:00,R$ 1946.16,R$ 1200.00,R$ 1478.15
Nintendo Switch,2022-04-03 14:00:00,R$ 2000.00,R$ 920.00,R$ 1450.00
Xbox Series S,2022-04-03 15:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 15:00:00,R$ 2460.00,R$ 4389.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-03 15:00:00,R$ 3000.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-03 15:00:00,R$ 2000.00,R$ 920.00,R$ 1450.00
Xbox Series S,2022-04-03 16:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 16:00:00,R$ 3099.60,R$ 2660.00,R$ 5160.00
"TV Samsung T5300 43""",2022-04-03 16:00:00,R$ 2280.00,R$ 2016.00,R$ 1500.00
Nintendo Switch,2022-04-03 16:00:00,R$ 2000.00,R$ 920.00,R$ 1450.00
Xbox Series S,2022-04-03 17:00:00,R$ 1507.00,R$ 1230.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 17:00:00,R$ 2789.64,R$ 2660.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-03 17:00:00,R$ 1664.40,R$ 1874.88,R$ 1500.00
Nintendo Switch,2022-04-03 17:00:00,R$ 1420.00,R$ 1518.00,R$ 2436.00
Xbox Series S,2022-04-03 18:00:00,R$ 1974.17,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 18:00:00,R$ 2789.64,R$ 3883.60,R$ 7500.00
"TV Samsung T5300 43""",2022-04-03 18:00:00,R$ 1664.40,R$ 3000.00,R$ 1395.00
Nintendo Switch,2022-04-03 18:00:00,R$ 800.00,R$ 920.00,R$ 2436.00
Xbox Series S,2022-04-03 19:00:00,R$ 1974.17,R$ 1290.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 19:00:00,R$ 3570.74,R$ 6650.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-03 19:00:00,R$ 1200.00,R$ 2550.00,R$ 641.70
Nintendo Switch,2022-04-03 19:00:00,R$ 800.00,R$ 975.20,R$ 2500.00
Xbox Series S,2022-04-03 20:00:00,R$ 2750.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 20:00:00,R$ 4641.96,R$ 5985.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-03 20:00:00,R$ 1200.00,R$ 2677.50,R$ 600.00
Nintendo Switch,2022-04-03 20:00:00,R$ 1336.00,R$ 920.00,R$ 2500.00
Xbox Series S,2022-04-03 21:00:00,R$ 2255.00,R$ 1160.00,R$ 1100.00
iPhone 11 64GB,2022-04-03 21:00:00,R$ 3713.57,R$ 5985.00,R$ 7500.00
